artifact,role,concept
artifacts/chapter-12/figures/euclid-extraction-order-kernel.png,visual,euclid extraction order kernel
artifacts/chapter-12/figures/betweenness-segment-ray-decomposition.png,visual,betweenness segment ray decomposition
artifacts/chapter-12/figures/pasch-triangle-crossing.png,visual,pasch triangle crossing
artifacts/chapter-12/figures/sylvester-ordinary-line-search.png,visual,sylvester ordinary line search
artifacts/chapter-12/figures/hyperplane-region-counts.png,visual,hyperplane region counts
artifacts/chapter-12/html/simplex-space-incidence.html,visual,simplex space incidence
artifacts/chapter-12/figures/dedekind-cut-continuity.png,visual,dedekind cut continuity
artifacts/chapter-12/figures/parallelism-separating-rays.png,visual,parallelism separating rays
artifacts/chapter-12/tables/ordered-kernel-concepts.csv,table,ordered kernel concepts
artifacts/chapter-12/tables/betweenness-truth-table.csv,table,betweenness truth table
artifacts/chapter-12/tables/ordinary-line-search.csv,table,ordinary line search
artifacts/chapter-12/tables/hyperplane-region-counts.csv,table,hyperplane region counts
artifacts/chapter-12/tables/dedekind-cut-bracket.csv,table,dedekind cut bracket
artifacts/chapter-12/tables/parallel-ray-classification.csv,table,parallel ray classification
