artifact,role,concept
artifacts/chapter-09/figures/number-system-argand-ladder.png,visual,number system argand ladder
artifacts/chapter-09/figures/argand-addition-multiplication.png,visual,argand addition multiplication
artifacts/chapter-09/figures/modulus-amplitude-demoivre-roots.png,visual,modulus amplitude demoivre roots
artifacts/chapter-09/figures/euler-formula-series-convergence.png,visual,euler formula series convergence
artifacts/chapter-09/figures/polynomial-root-constellations.png,visual,polynomial root constellations
artifacts/chapter-09/figures/circle-preserving-conformal-maps.png,visual,circle preserving conformal maps
artifacts/chapter-09/html/linear-fractional-map-lab.html,visual,linear fractional map lab
artifacts/chapter-09/tables/rational-approximation-ladder.csv,table,rational approximation ladder
artifacts/chapter-09/tables/roots-of-unity-checks.csv,table,roots of unity checks
artifacts/chapter-09/tables/polynomial-root-residuals.csv,table,polynomial root residuals
