artifact,role,concept
artifacts/chapter-18/figures/dual-basis-metric-tensor.png,visual,dual basis metric tensor
artifacts/chapter-18/figures/covariant-contravariant-components.png,visual,covariant contravariant components
artifacts/chapter-18/figures/reciprocal-lattice-plane-spacing.png,visual,reciprocal lattice plane spacing
artifacts/chapter-18/html/critical-lattice-fcc-bcc.html,visual,critical lattice fcc bcc
artifacts/chapter-18/figures/cylindrical-coordinate-metric-jacobian.png,visual,cylindrical coordinate metric jacobian
artifacts/chapter-18/figures/alternating-symbol-determinant-check.png,visual,alternating symbol determinant check
artifacts/chapter-18/tables/fundamental-tensor-matrix.csv,table,fundamental tensor matrix
artifacts/chapter-18/tables/component-conversion-checks.csv,table,component conversion checks
artifacts/chapter-18/tables/fcc-bcc-critical-lattice-checks.csv,table,fcc bcc critical lattice checks
artifacts/chapter-18/tables/alternating-symbol-terms.csv,table,alternating symbol terms
