artifact,role,concept
artifacts/chapter-16/figures/parallel-axiom-model-comparison.png,visual,parallel axiom model comparison
artifacts/chapter-16/figures/poincare-klein-model-comparison.png,visual,poincare klein model comparison
artifacts/chapter-16/figures/angle-of-parallelism-function.png,visual,angle of parallelism function
artifacts/chapter-16/figures/angular-defect-area-budget.png,visual,angular defect area budget
artifacts/chapter-16/figures/half-plane-pencils-horocycles-equidistant.png,visual,half plane pencils horocycles equidistant
artifacts/chapter-16/html/horosphere-euclidean-limit.html,visual,horosphere euclidean limit
artifacts/chapter-16/tables/half-plane-parallel-classification.csv,table,half plane parallel classification
artifacts/chapter-16/tables/angle-of-parallelism-values.csv,table,angle of parallelism values
artifacts/chapter-16/tables/angular-defect-area-values.csv,table,angular defect area values
artifacts/chapter-16/tables/equidistant-curve-checks.csv,table,equidistant curve checks
